route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
861,3528A4969,160164A3528B4969,,33rd Street,1,,5,0
862,3529A4969,602392A3529B4969,,Newark,0,,9,0
860,3894A5283,572546A3894B5283,,World Trade Center,1,,10,0
1024,3906A5292,159767A3906B5292,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158326A3528B4969,,33rd Street,1,,11,0
861,3528A4969,160087A3528B4969,,33rd Street,1,,5,0
859,3528A4969,158290A3528B4969,,33rd Street,1,,11,0
862,3529A4969,602394A3529B4969,,Newark,0,,9,0
1024,3907A5310,159395A3907B5310,,33rd via Hoboken,1,,2,0
1024,3906A5293,159590A3906B5293,,33rd via Hoboken,1,,2,0
861,3528A4969,160106A3528B4969,,33rd Street,1,,5,0
860,3893A5283,572518A3893B5283,,World Trade Center,1,,10,0
1024,3906A5293,159631A3906B5293,,33rd via Hoboken,1,,2,0
860,3893A5283,572453A3893B5283,,World Trade Center,1,,10,0
4768,3894A5283,573102A3894B5283,,Journal Square,0,,1,0
859,3528A4969,158407A3528B4969,,Hoboken,0,,7,0
1024,3906A5310,159709A3906B5310,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159601A3906B5293,,33rd via Hoboken,1,,2,0
862,3530A4969,602537A3530B4969,,Newark,0,,9,0
860,3528A4969,158533A3528B4969,,World Trade Center,1,,10,0
4768,3893A5283,572832A3893B5283,,Hoboken,1,,12,0
1024,3906A5293,159574A3906B5293,,33rd via Hoboken,1,,2,0
859,3528A4969,158355A3528B4969,,33rd Street,1,,11,0
861,3528A4969,160105A3528B4969,,33rd Street,1,,5,0
860,3894A5283,572531A3894B5283,,World Trade Center,1,,10,0
1024,3906A5293,159710A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5310,159422A3907B5310,,33rd via Hoboken,1,,2,0
860,3528A4969,158598A3528B4969,,World Trade Center,1,,10,0
1024,3907A5292,159461A3907B5292,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160057A3528B4969,,33rd Street,1,,5,0
860,3908A5283,572612A3908B5283,,World Trade Center,1,,10,0
4768,3893A5283,572993A3893B5283,,Journal Square,0,,1,0
860,3893A5283,572620A3893B5283,,Hoboken,0,,3,0
4768,3893A5283,572846A3893B5283,,Hoboken,1,,12,0
860,3528A4969,158639A3528B4969,,Hoboken,0,,3,0
4768,3894A5283,572891A3894B5283,,Hoboken,1,,12,0
862,3529A4969,602405A3529B4969,,Newark,0,,9,0
4768,3894A5283,572901A3894B5283,,Hoboken,1,,12,0
1024,3943A5310,160028A3943B5310,,33rd via Hoboken,1,,2,0
862,3529A4969,602476A3529B4969,,World Trade Center,1,,8,0
1024,3906A5292,159713A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159440A3907B5292,,33rd via Hoboken,1,,2,0
861,3528A4969,160058A3528B4969,,33rd Street,1,,5,0
4768,3893A5283,572850A3893B5283,,Hoboken,1,,12,0
1024,3941A5283,582205A3941B5283,,Journal Square via Hoboken,0,,4,0
4768,3893A5283,572973A3893B5283,,Journal Square,0,,1,0
862,3528A4969,159171A3528B4969,,World Trade Center,1,,8,0
1024,3907A5310,159527A3907B5310,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159162A3528B4969,,World Trade Center,1,,8,0
4768,3893A5283,573034A3893B5283,,Journal Square,0,,1,0
4768,3893A5283,573008A3893B5283,,Journal Square,0,,1,0
4768,3893A5283,573024A3893B5283,,Journal Square,0,,1,0
862,3528A4969,159173A3528B4969,,World Trade Center,1,,8,0
1024,3907A5310,159479A3907B5310,,Journal Square via Hoboken,0,,4,0
862,3529A4969,602467A3529B4969,,World Trade Center,1,,8,0
1024,3907A5293,159446A3907B5293,,33rd via Hoboken,1,,2,0
859,3528A4969,158397A3528B4969,,Hoboken,0,,7,0
